----------------------------------------------------------------------
|  epoch  |  train_acc  |  val_acc  |  tta_val_acc  |  time_seconds  |
----------------------------------------------------------------------
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to cifar10/cifar-10-python.tar.gz





100%|███████████████████████| 170498071/170498071 [00:11<00:00, 15295598.41it/s]
Extracting cifar10/cifar-10-python.tar.gz to cifar10
/home/riabina/Experiments-estimating-smoothness-for-NanoGPT-and-CNN-on-CIFAR10/cnn_on_cifar10/train_cnn_estimate_blockwise_smoothness.py:369: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  data = torch.load(data_path, map_location=torch.device("cuda"))
Files already downloaded and verified
step:0.2 (0) L_estimated: 516.0109 norm_grad: 196.6109
step:0.2 (1) L_estimated: 352.7784 norm_grad: 134.1636
step:0.2 (2) L_estimated: 972.7119 norm_grad: 395.7729
step:0.2 (3) L_estimated: 562.9022 norm_grad: 249.6986
step:0.2 (4) L_estimated: 518.6822 norm_grad: 226.5613
step:0.2 (5) L_estimated: 405.7659 norm_grad: 178.8875
step:0.2 (6) L_estimated: 181.9014 norm_grad: 70.0903
step:0.2 (7) L_estimated: 182.5611 norm_grad: 70.2919
step:0.2 (8) L_estimated: 231.2564 norm_grad: 85.1670
step:0.2 (9) L_estimated: 102.0790 norm_grad: 38.6965
step:0.2 (10) L_estimated: 139.0001 norm_grad: 53.1114
step:0.2 (11) L_estimated: 283.0638 norm_grad: 100.2032
step:0.2 (12) L_estimated: 389.8368 norm_grad: 143.8047
step:0.2 (13) L_estimated: 0.0579 norm_grad: 2.0362
step:0.4 (0) L_estimated: 807.1283 norm_grad: 255.6051
step:0.4 (1) L_estimated: 436.8867 norm_grad: 149.0325
step:0.4 (2) L_estimated: 984.6848 norm_grad: 349.2298
step:0.4 (3) L_estimated: 769.5283 norm_grad: 250.9962
step:0.4 (4) L_estimated: 670.2042 norm_grad: 237.5894
step:0.4 (5) L_estimated: 500.3140 norm_grad: 183.6448
step:0.4 (6) L_estimated: 409.4893 norm_grad: 74.4552
step:0.4 (7) L_estimated: 220.1690 norm_grad: 57.3515
step:0.4 (8) L_estimated: 290.9717 norm_grad: 72.9468
step:0.4 (9) L_estimated: 151.7864 norm_grad: 37.8068
step:0.4 (10) L_estimated: 239.0659 norm_grad: 64.7878
step:0.4 (11) L_estimated: 517.0609 norm_grad: 142.5474
step:0.4 (12) L_estimated: 1255.1083 norm_grad: 321.0662
step:0.4 (13) L_estimated: 0.1131 norm_grad: 2.7386
step:0.6 (0) L_estimated: 791.6906 norm_grad: 212.4158
step:0.6 (1) L_estimated: 526.4139 norm_grad: 151.4736
step:0.6 (2) L_estimated: 1034.6534 norm_grad: 344.6030
step:0.6 (3) L_estimated: 874.0930 norm_grad: 276.4903
step:0.6 (4) L_estimated: 775.5341 norm_grad: 259.3363
step:0.6 (5) L_estimated: 556.2350 norm_grad: 186.1963
step:0.6 (6) L_estimated: 205.1189 norm_grad: 59.3504
step:0.6 (7) L_estimated: 235.4264 norm_grad: 69.5050
